Designator;Mid X;Mid Y;Rotation;Layer
C15;177.010000;-159.930000;90.000000;bottom
C17;166.900000;-150.540000;0.000000;bottom
C25;162.930000;-150.150000;0.000000;bottom
C26;181.000000;-156.540000;0.000000;bottom
C27;166.900000;-148.540000;0.000000;bottom
C28;166.900000;-146.540000;0.000000;bottom
C29;171.900000;-150.825000;270.000000;bottom
C30;168.850000;-144.500000;0.000000;bottom
C31;174.000000;-151.175000;270.000000;bottom
C32;194.000000;-151.125000;270.000000;bottom
C33;179.150000;-144.600000;0.000000;bottom
C34;176.100000;-150.825000;270.000000;bottom
C35;181.100000;-146.530000;0.000000;bottom
C36;181.100000;-148.540000;0.000000;bottom
C37;181.100000;-150.540000;0.000000;bottom
C38;170.960000;-159.920000;90.000000;bottom
C39;52.225000;-102.750000;180.000000;bottom
C40;166.990000;-157.350000;180.000000;bottom
C41;197.010000;-159.930000;90.000000;bottom
C42;186.900000;-150.540000;0.000000;bottom
C43;187.000000;-156.540000;180.000000;bottom
C44;186.900000;-148.540000;0.000000;bottom
C46;186.900000;-146.540000;0.000000;bottom
C47;196.100000;-150.825000;270.000000;bottom
C49;188.850000;-144.600000;0.000000;bottom
C50;193.900000;-173.775000;90.000000;bottom
C51;173.900000;-173.775000;90.000000;bottom
C52;199.150000;-144.600000;0.000000;bottom
C53;191.800000;-150.825000;270.000000;bottom
C54;201.100000;-146.530000;0.000000;bottom
C55;201.100000;-148.540000;0.000000;bottom
C56;201.100000;-150.540000;0.000000;bottom
C57;190.960000;-159.920000;90.000000;bottom
C58;201.000000;-156.540000;0.000000;bottom
C59;197.010000;-164.930000;270.000000;bottom
C60;200.990000;-174.400000;180.000000;bottom
C61;187.070000;-168.370000;180.000000;bottom
C62;200.990000;-176.400000;180.000000;bottom
C63;200.990000;-178.400000;180.000000;bottom
C64;191.900000;-174.125000;90.000000;bottom
C65;199.150000;-180.400000;180.000000;bottom
C66;95.000000;-173.975000;90.000000;bottom
C67;75.100000;-173.625000;90.000000;bottom
C68;188.850000;-180.400000;180.000000;bottom
C69;196.000000;-174.175000;90.000000;bottom
C70;186.990000;-178.400000;180.000000;bottom
C71;186.990000;-176.400000;180.000000;bottom
C72;186.990000;-174.400000;180.000000;bottom
C73;190.960000;-164.920000;270.000000;bottom
C74;200.990000;-168.400000;0.000000;bottom
C75;177.010000;-164.930000;270.000000;bottom
C76;180.990000;-174.400000;180.000000;bottom
C77;167.070000;-168.370000;180.000000;bottom
C78;180.990000;-176.400000;180.000000;bottom
C79;181.060000;-178.400000;180.000000;bottom
C80;176.100000;-174.075000;90.000000;bottom
C84;58.775000;-102.750000;0.000000;bottom
C85;179.150000;-180.400000;180.000000;bottom
C87;122.100000;-84.950000;90.000000;bottom
C88;184.000000;-162.500000;0.000000;bottom
C93;74.900000;-151.275000;270.000000;bottom
C94;94.800000;-151.025000;270.000000;bottom
C98;77.775000;-107.250000;180.000000;bottom
C114;118.919218;-48.296644;90.000000;bottom
C115;121.559218;-51.301644;180.000000;bottom
C116;121.634218;-45.831644;0.000000;bottom
C121;168.850000;-180.400000;180.000000;bottom
C122;171.600000;-174.075000;90.000000;bottom
C123;166.990000;-178.400000;180.000000;bottom
C124;166.990000;-176.400000;180.000000;bottom
C125;166.990000;-174.400000;180.000000;bottom
C126;170.960000;-164.920000;270.000000;bottom
C127;180.990000;-168.400000;0.000000;bottom
C128;98.010000;-164.930000;270.000000;bottom
C129;101.990000;-174.400000;180.000000;bottom
C130;88.070000;-168.370000;180.000000;bottom
C131;101.990000;-176.400000;180.000000;bottom
C132;102.050000;-178.400000;180.000000;bottom
C133;97.100000;-174.075000;90.000000;bottom
C134;100.150000;-180.400000;180.000000;bottom
C135;92.700000;-174.075000;90.000000;bottom
C136;72.800000;-174.175000;90.000000;bottom
C137;89.850000;-180.400000;180.000000;bottom
C138;77.000000;-174.175000;90.000000;bottom
C139;87.990000;-178.400000;180.000000;bottom
C140;87.990000;-176.400000;180.000000;bottom
C141;87.990000;-174.400000;180.000000;bottom
C142;91.960000;-164.920000;270.000000;bottom
C143;101.990000;-168.400000;0.000000;bottom
C144;71.960000;-164.920000;270.000000;bottom
C145;81.990000;-174.400000;180.000000;bottom
C146;81.990000;-168.400000;0.000000;bottom
C147;81.990000;-176.400000;180.000000;bottom
C148;81.990000;-178.400000;180.000000;bottom
C149;72.800000;-150.875000;270.000000;bottom
C150;80.050000;-180.400000;180.000000;bottom
C151;77.000000;-150.875000;270.000000;bottom
C152;97.100000;-150.875000;270.000000;bottom
C153;69.850000;-180.400000;180.000000;bottom
C154;92.700000;-150.825000;270.000000;bottom
C155;67.990000;-178.400000;180.000000;bottom
C156;67.990000;-176.400000;180.000000;bottom
C157;67.990000;-174.400000;180.000000;bottom
C158;78.010000;-164.930000;270.000000;bottom
C159;68.070000;-168.370000;180.000000;bottom
C160;78.010000;-159.930000;90.000000;bottom
C161;67.900000;-150.540000;0.000000;bottom
C162;82.000000;-156.540000;0.000000;bottom
C163;67.900000;-148.540000;0.000000;bottom
C164;67.900000;-146.540000;0.000000;bottom
C165;82.700000;-35.575000;90.000000;bottom
C166;69.850000;-144.500000;0.000000;bottom
C169;80.150000;-144.500000;0.000000;bottom
C171;82.100000;-146.530000;0.000000;bottom
C172;82.100000;-148.530000;0.000000;bottom
C173;82.100000;-150.530000;0.000000;bottom
C174;71.960000;-159.920000;90.000000;bottom
C175;68.000000;-156.540000;180.000000;bottom
C186;84.525000;-107.250000;0.000000;bottom
C187;52.225000;-105.000000;180.000000;bottom
C188;58.775000;-105.000000;0.000000;bottom
C189;52.275000;-107.250000;180.000000;bottom
C193;52.275000;-109.600005;180.000000;bottom
C194;58.775000;-109.500000;0.000000;bottom
C195;91.960000;-159.920000;90.000000;bottom
C196;87.900000;-150.540000;0.000000;bottom
C197;88.000000;-156.540000;180.000000;bottom
C203;87.900000;-148.540000;0.000000;bottom
C204;87.900000;-146.540000;0.000000;bottom
C206;58.775000;-107.250000;0.000000;bottom
C211;89.850000;-144.500000;0.000000;bottom
C219;100.250000;-144.500000;0.000000;bottom
C221;102.100000;-146.530000;0.000000;bottom
C225;102.100000;-148.530000;0.000000;bottom
C226;102.100000;-150.530000;0.000000;bottom
C227;98.010000;-159.930000;90.000000;bottom
C228;102.000000;-156.540000;0.000000;bottom
C229;85.000000;-162.500000;180.000000;bottom
C242;110.275000;-103.000000;0.000000;bottom
C243;103.475000;-103.000000;180.000000;bottom
C244;103.475000;-105.250000;180.000000;bottom
C245;103.525000;-107.500000;180.000000;bottom
C246;103.475000;-109.750000;180.000000;bottom
C247;110.325000;-109.750000;0.000000;bottom
C248;110.275000;-107.500000;0.000000;bottom
C249;110.275000;-105.250000;0.000000;bottom
C250;84.475000;-105.000000;0.000000;bottom
C251;84.475000;-102.750000;0.000000;bottom
C252;84.475000;-109.500000;0.000000;bottom
C253;77.725000;-109.500000;180.000000;bottom
C260;129.275000;-103.250000;180.000000;bottom
C261;129.275000;-105.500000;180.000000;bottom
C262;129.275000;-107.750000;180.000000;bottom
C263;129.275000;-110.000000;180.000000;bottom
C264;135.975000;-110.000000;0.000000;bottom
C265;135.975000;-107.750000;0.000000;bottom
C266;136.025000;-105.500000;0.000000;bottom
C267;136.025000;-103.250000;0.000000;bottom
C274;155.025000;-103.250000;180.000000;bottom
C275;155.025000;-105.500000;180.000000;bottom
C276;155.025000;-107.750000;180.000000;bottom
C277;154.975000;-110.000000;180.000000;bottom
C278;161.775000;-110.050000;0.000000;bottom
C279;161.775000;-107.850000;0.000000;bottom
C280;161.775000;-105.500000;0.000000;bottom
C281;161.775000;-103.250000;0.000000;bottom
C288;188.025000;-110.250000;0.000000;bottom
C289;188.075000;-108.000000;0.000000;bottom
C290;188.025000;-105.750000;0.000000;bottom
C291;188.025000;-103.500000;0.000000;bottom
C292;181.275000;-103.500000;180.000000;bottom
C293;181.275000;-105.750000;180.000000;bottom
C294;181.275000;-108.000000;180.000000;bottom
C295;181.275000;-110.250000;180.000000;bottom
C480;77.725000;-102.750000;180.000000;bottom
C481;77.725000;-105.000000;180.000000;bottom
FB1;80.112500;-36.300000;180.000000;bottom
R8;163.960000;-156.140000;90.000000;bottom
R9;167.010000;-155.360000;180.000000;bottom
R10;180.260000;-153.830000;270.000000;bottom
R11;187.000000;-154.540000;180.000000;bottom
R14;200.260000;-153.830000;270.000000;bottom
R15;200.990000;-170.400000;0.000000;bottom
R16;187.782200;-171.348400;90.000000;bottom
R17;180.990000;-170.400000;0.000000;bottom
R18;167.782200;-171.348400;90.000000;bottom
R19;101.990000;-170.400000;0.000000;bottom
R20;88.782200;-171.348400;90.000000;bottom
R21;81.990000;-170.400000;0.000000;bottom
R22;68.782200;-171.348400;90.000000;bottom
R23;68.000000;-154.540000;180.000000;bottom
R24;81.260000;-153.830000;270.000000;bottom
R29;118.700000;-113.212500;270.000000;bottom
R30;120.700000;-113.212500;270.000000;bottom
R39;121.589218;-49.591644;180.000000;bottom
R40;121.589218;-47.551644;180.000000;bottom
R41;88.000000;-154.540000;180.000000;bottom
R42;101.260000;-153.830000;270.000000;bottom
R43;170.127500;-55.100000;270.000000;bottom
R44;172.657500;-55.110000;270.000000;bottom
U8;162.730000;-152.780000;270.000000;bottom
U38;120.020000;-85.130000;270.000000;bottom
C1;114.249218;-51.550000;270.000000;top
C2;110.309218;-50.721644;270.000000;top
C3;116.009218;-51.375000;270.000000;top
C4;120.909218;-51.361644;0.000000;top
C5;120.909218;-47.401644;0.000000;top
C6;120.909218;-45.391644;0.000000;top
C7;120.909218;-43.401644;180.000000;top
C8;120.909218;-41.401644;180.000000;top
